date,log_time,log_kind,code,name,price,status,source
2026-05-18,14:43:13,intraday,517520,黄金股ETF,1.998,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,562800,稀有金属ETF,1.104,▲ 接近支撑,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,588000,科创50ETF,1.789,- 趋势完好,scan_0518_intraday.log
2026-05-19,14:43:11,intraday,159869,游戏ETF,1.271,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,159915,创业板ETF,3.922,- 趋势完好,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,159995,芯片ETF,2.423,◇ 多头排列,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,510300,沪深300ETF,4.862,- 趋势完好,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,510500,中证500ETF,8.692,- 趋势完好,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,510880,红利ETF,3.222,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512010,医药ETF,0.349,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512100,中证1000ETF,3.534,◇ 多头排列,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512200,房地产ETF,1.426,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512400,有色金属ETF,1.979,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512480,半导体ETF,2.123,◇ 多头排列,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512580,环保ETF,1.438,- 趋势完好,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512660,军工ETF,1.376,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512690,酒ETF,0.453,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512800,银行ETF,0.774,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512880,证券ETF,1.057,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,512980,传媒ETF,0.996,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,513180,恒生科技ETF,0.62,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,515070,人工智能ETF,2.524,◇ 多头排列,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,515790,光伏ETF,1.118,- 趋势完好,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,515880,通信ETF,1.51,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,516110,汽车ETF,1.291,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,516160,新能源ETF,3.193,▲ 接近支撑,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,517520,黄金股ETF,1.983,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,562500,机器人ETF,1.197,◇ 多头排列,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,562800,稀有金属ETF,1.065,✗ 趋势偏弱,scan_20260519_intraday.log
2026-05-19,14:43:11,intraday,588000,科创50ETF,1.863,◇ 多头排列,scan_20260519_intraday.log
2026-05-20,14:43:14,intraday,159869,游戏ETF,1.245,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,159915,创业板ETF,3.932,- 趋势完好,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,159995,芯片ETF,2.544,◇ 多头排列,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,510300,沪深300ETF,4.867,- 趋势完好,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,510500,中证500ETF,8.732,- 趋势完好,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,510880,红利ETF,3.215,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512010,医药ETF,0.345,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512100,中证1000ETF,3.538,◇ 多头排列,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512200,房地产ETF,1.418,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512400,有色金属ETF,1.983,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512480,半导体ETF,2.223,◇ 多头排列,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512580,环保ETF,1.448,- 趋势完好,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512660,军工ETF,1.37,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512690,酒ETF,0.455,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512800,银行ETF,0.769,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512880,证券ETF,1.05,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,512980,传媒ETF,0.969,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,513180,恒生科技ETF,0.619,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,515070,人工智能ETF,2.534,◇ 多头排列,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,515790,光伏ETF,1.125,◇ 多头排列,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,515880,通信ETF,1.516,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,516110,汽车ETF,1.277,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,516160,新能源ETF,3.229,▲ 接近支撑,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,517520,黄金股ETF,1.944,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,562500,机器人ETF,1.198,◇ 多头排列,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,562800,稀有金属ETF,1.066,✗ 趋势偏弱,scan_20260520_intraday.log
2026-05-20,14:43:14,intraday,588000,科创50ETF,1.926,◇ 多头排列,scan_20260520_intraday.log
2026-05-21,14:48:01,intraday,159869,游戏ETF,1.219,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,159915,创业板ETF,3.865,- 趋势完好,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,159995,芯片ETF,2.482,◇ 多头排列,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,510300,沪深300ETF,4.823,▲ 接近支撑,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,510500,中证500ETF,8.541,▲ 接近支撑,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,510880,红利ETF,3.174,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512010,医药ETF,0.35,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512100,中证1000ETF,3.442,▲ 接近支撑,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512200,房地产ETF,1.367,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512400,有色金属ETF,1.954,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512480,半导体ETF,2.142,◇ 多头排列,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512580,环保ETF,1.42,▲ 接近支撑,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512660,军工ETF,1.341,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512690,酒ETF,0.454,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512800,银行ETF,0.771,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512880,证券ETF,1.056,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,512980,传媒ETF,0.948,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,513180,恒生科技ETF,0.609,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,515070,人工智能ETF,2.459,- 趋势完好,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,515790,光伏ETF,1.096,- 趋势完好,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,515880,通信ETF,1.448,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,516110,汽车ETF,1.302,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,516160,新能源ETF,3.16,▲ 接近支撑,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,517520,黄金股ETF,1.909,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,562500,机器人ETF,1.192,◇ 多头排列,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,562800,稀有金属ETF,1.056,✗ 趋势偏弱,scan_20260521_intraday.log
2026-05-21,14:48:01,intraday,588000,科创50ETF,1.873,◇ 多头排列,scan_20260521_intraday.log
2026-05-22,14:43:14,intraday,159869,游戏ETF,1.21,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,159915,创业板ETF,3.941,- 趋势完好,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,159995,芯片ETF,2.528,◇ 多头排列,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,510300,沪深300ETF,4.855,▲ 接近支撑,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,510500,中证500ETF,8.648,- 趋势完好,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,510880,红利ETF,3.156,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512010,医药ETF,0.344,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512100,中证1000ETF,3.492,- 趋势完好,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512200,房地产ETF,1.372,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512400,有色金属ETF,2.017,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512480,半导体ETF,2.185,◇ 多头排列,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512580,环保ETF,1.428,▲ 接近支撑,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512660,军工ETF,1.354,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512690,酒ETF,0.445,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512800,银行ETF,0.767,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512880,证券ETF,1.036,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,512980,传媒ETF,0.937,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,513180,恒生科技ETF,0.619,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,515070,人工智能ETF,2.504,◇ 多头排列,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,515790,光伏ETF,1.108,- 趋势完好,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,515880,通信ETF,1.501,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,516110,汽车ETF,1.3,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,516160,新能源ETF,3.189,▲ 接近支撑,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,517520,黄金股ETF,1.955,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,562500,机器人ETF,1.187,◇ 多头排列,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,562800,稀有金属ETF,1.053,✗ 趋势偏弱,scan_20260522_intraday.log
2026-05-22,14:43:14,intraday,588000,科创50ETF,1.884,◇ 多头排列,scan_20260522_intraday.log
2026-05-25,14:43:10,intraday,159869,游戏ETF,1.18,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,159915,创业板ETF,4.026,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,159995,芯片ETF,2.712,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,510300,沪深300ETF,4.929,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,510500,中证500ETF,8.778,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,510880,红利ETF,3.185,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512010,医药ETF,0.34,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512100,中证1000ETF,3.535,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512200,房地产ETF,1.38,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512400,有色金属ETF,2.024,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512480,半导体ETF,2.344,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512580,环保ETF,1.421,▲ 接近支撑,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512660,军工ETF,1.376,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512690,酒ETF,0.447,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512800,银行ETF,0.768,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512880,证券ETF,1.045,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,512980,传媒ETF,0.93,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,513180,恒生科技ETF,0.615,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,515070,人工智能ETF,2.597,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,515790,光伏ETF,1.123,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,515880,通信ETF,1.56,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,516110,汽车ETF,1.299,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,516160,新能源ETF,3.171,▲ 接近支撑,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,517520,黄金股ETF,1.975,✗ 趋势偏弱,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,562500,机器人ETF,1.212,◇ 多头排列,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,562800,稀有金属ETF,1.091,▲ 接近支撑,scan_20260525_intraday.log
2026-05-25,14:43:10,intraday,588000,科创50ETF,1.995,◇ 多头排列,scan_20260525_intraday.log
2026-05-26,14:43:11,intraday,159869,游戏ETF,1.177,✗ 趋势偏弱,scan_20260526_intraday.log
2026-05-26,14:43:11,intraday,159915,创业板ETF,4.062,◇ 多头排列,scan_20260526_intraday.log
2026-05-26,14:43:11,intraday,159995,芯片ETF,2.708,◇ 多头排列,scan_20260526_intraday.log
2026-05-26,14:43:11,intraday,510300,沪深300ETF,4.968,◇ 多头排列,scan_20260526_intraday.log
2026-05-26,14:43:11,intraday,510500,中证500ETF,8.746,◇ 多头排列,scan_20260526_intraday.log
2026-05-26,14:43:11,intraday,510880,红利ETF,3.182,✗ 趋势偏弱,scan_20260526_intraday.log
